,Y,Y_RF,sig_1,pos_1,bal_1,sig_2,pos_2,bal_2,sig_3,pos_3,bal_3
53,140.19,140.31848082486914,1.0,1.0,998655.0,1.0,0.0,1002210.0,-1.0,-1.0,1011170.0
54,138.0,140.1061993716941,1.0,1.0,999470.0,1.0,0.0,1002210.0,-1.0,-1.0,1011815.0
55,139.45,140.1003453366842,1.0,1.0,999555.0,1.0,0.0,1002210.0,-1.0,-1.0,1011810.0
56,140.15,140.17718403713346,1.0,1.0,999780.0,1.0,0.0,1002210.0,-1.0,-1.0,1012300.0
57,139.16,139.73819226894213,1.0,1.0,1000460.0,1.0,0.0,1002210.0,-1.0,-1.0,1012260.0
58,140.7,140.81018134988042,1.0,1.0,1000975.0,1.0,0.0,1002210.0,-1.0,-1.0,1012865.0
59,142.25,140.78273161913475,-1.0,-1.0,1000795.0,-1.0,-1.0,1002030.0,-1.0,-1.0,1013305.0
60,142.32,141.76885407569804,-1.0,-1.0,1000800.0,-1.0,0.0,1002030.0,-1.0,-1.0,1013155.0
61,142.25,142.1771975980408,-1.0,-1.0,1001080.0,-1.0,0.0,1002030.0,-1.0,-1.0,1012845.0
62,142.03,142.40686812565002,1.0,1.0,1001165.0,1.0,1.0,1002115.0,-1.0,-1.0,1013100.0
63,141.98,141.702725577175,-1.0,-1.0,1001270.0,-1.0,-1.0,1002220.0,-1.0,-1.0,1012885.0
64,141.73,142.26177319366164,1.0,1.0,1001230.0,1.0,1.0,1002180.0,-1.0,-1.0,1012825.0
65,141.72,141.8856491596289,1.0,1.0,1000945.0,1.0,0.0,1002180.0,-1.0,-1.0,1012575.0
66,140.78,141.62127605531398,1.0,1.0,1000940.0,1.0,0.0,1002180.0,-1.0,-1.0,1012385.0
67,141.22,141.27501574958015,1.0,1.0,1000835.0,1.0,0.0,1002180.0,-1.0,-1.0,1012505.0
68,141.18,140.96004532051373,-1.0,-1.0,1001435.0,-1.0,-1.0,1002780.0,-1.0,-1.0,1011990.0
69,140.3,140.96963096991593,1.0,1.0,1001095.0,1.0,1.0,1002440.0,-1.0,-1.0,1011810.0
70,139.53,140.0221142380772,1.0,1.0,1000910.0,1.0,0.0,1002440.0,-1.0,-1.0,1011580.0
71,139.5,139.61188891927506,1.0,1.0,1002050.0,1.0,0.0,1002440.0,-1.0,-1.0,1012890.0
72,141.3,140.44834950755046,-1.0,-1.0,1002220.0,-1.0,-1.0,1002610.0,-1.0,-1.0,1012480.0
73,141.21,140.88370483612206,-1.0,-1.0,1001595.0,-1.0,0.0,1002610.0,-1.0,-1.0,1013230.0
74,142.98,141.78946360780625,-1.0,-1.0,1001210.0,-1.0,0.0,1002610.0,-1.0,-1.0,1013875.0
