Date,Open,High,Low,Close,Volume,Mkt-RF,SMB,HML,RF,ADS_Index,FB
2016-06-08,117.99,118.6,117.27,118.32,136076,0.37,0.45,-0.11,0.001,-0.121548612365188,-0.008708564755403698
2016-06-09,118.01,118.68,117.71,118.58,121784,-0.27,-0.4,-0.22,0.001,-0.105017174307966,0.005335579012623962
2016-06-10,117.84,118.11,116.26,116.53,171463,-1.05,-0.34,-0.18,0.001,-0.0889651312487658,0.001434893701795259
2016-06-13,115.7,116.71,113.31,114.04,288931,-0.84,-0.36,0.1,0.001,-0.0437614628740473,-0.016498333160095646
2016-06-14,113.7,115.05,113.58,114.94,162772,-0.19,0.27,-0.71,0.001,-0.030228993375579,-0.023161082154228758
2016-06-15,114.88,115.44,114.07,114.64,183639,-0.11,0.25,-0.05,0.001,-0.0176917746141397,0.00865054111562181
2016-06-16,114.12,114.5,112.94,114.42,178079,0.24,-0.34,-0.4,0.001,-0.00614817629995467,-0.0029624836513461646
2016-06-17,114.37,114.43,112.56,112.7,215559,-0.3,-0.1,0.94,0.001,0.0044033026503229,-0.001834133033072929
2016-06-20,114.17,114.72,112.75,113.26,193377,0.71,0.61,-0.01,0.001,0.0305470267544346,-0.012048886137836713
2016-06-21,113.7,115.22,113.58,114.3,176945,0.21,-0.62,0.5,0.001,0.0379720924847119,0.0030920648338115405
2016-06-22,114.29,114.92,113.61,114.21,129401,-0.2,-0.31,0.08,0.001,0.0448114246314712,0.008869379767274399
2016-06-23,114.09,115.84,113.54,114.91,147631,1.45,0.5,0.43,0.001,0.0510659125541053,-0.004117514231546105
2016-06-24,111.99,113.68,109.77,111.56,357100,-3.7,0.15,-1.14,0.001,0.0567363695612038,0.01021885803529942
2016-06-27,111.0,111.68,108.23,108.8,330281,-2.07,-0.95,-0.67,0.001,0.0702788277258259,-0.02641463618941322
2016-06-28,109.25,112.94,109.25,112.88,244184,1.76,-0.39,0.14,0.001,0.0733480559367664,-0.028140295707515844
2016-06-29,113.0,114.35,113.0,114.34,188033,1.8,0.27,-0.07,0.001,0.0755361481767963,0.03365677026075448
2016-06-30,114.79,115.18,113.67,113.92,212256,1.42,0.35,0.45,0.001,0.0768433889766774,0.012871613780735848
2016-07-01,114.28,115.13,113.81,114.03,138616,0.24,0.53,-0.4,0.001,0.0772699483247738,0.0010505604050120676
2016-07-05,113.6,114.22,112.97,113.9,129970,-0.85,-0.62,-1.36,0.001,0.0744954362794936,-0.0007878233839096666
2016-07-06,113.24,116.85,112.97,116.7,213268,0.62,0.17,-0.13,0.001,0.0724341082433159,8.752572398206667e-05
